Rig,year,counts
Bark,1830,24
Bark,1831,21
Bark,1832,21
Bark,1840,844
Bark,1841,1227
Bark,1842,828
Bark,1843,805
Bark,1844,825
Bark,1845,891
Bark,1846,817
Bark,1847,780
Bark,1848,557
Bark,1849,767
Bark,1850,893
Bark,1851,1494
Bark,1852,1276
Bark,1853,1635
Bark,1854,1677
Bark,1855,3358
Bark,1856,3187
Bark,1857,2331
Bark,1858,1923
Bark,1859,1389
Bark,1860,1268
Bark,1861,576
Bark,1862,1140
Bark,1863,892
Bark,1864,1098
Bark,1865,1882
Bark,1866,1297
Bark,1867,1245
Bark,1868,1196
Bark,1869,1486
Bark,1870,899
Bark,1871,1109
Bark,1872,851
Bark,1873,448
Bark,1874,646
Bark,1875,1329
Bark,1876,1056
Bark,1877,968
Bark,1878,657
Bark,1879,507
Bark,1880,616
Bark,1881,769
Bark,1882,443
Bark,1883,398
Bark,1884,376
Bark,1885,233
Bark,1886,260
Bark,1887,442
Bark,1888,183
Bark,1889,12
Bark,1890,129
Bark,1891,202
Bark,1892,111
Bark,1893,118
Bark,1894,122
Bark,1895,122
Bark,1896,78
Bark,1897,92
Bark,1898,142
Bark,1899,102
Bark,1900,31
Bark,1901,233
Bark,1902,34
Bark,1903,153
Bark,1904,64
Bark,1905,133
Bark,1906,135
Bark,1907,125
Bark,1908,173
Bark,1909,37
Bark,1910,136
Bark,1911,70
Bark,1912,35
Bark,1913,52
Bark,1914,66
Bark,1916,49
Bark,1917,52
Bark,1918,69
Bark,1919,44
Bark,1920,23
Bark,1921,32
Bark,1922,12
Bark,1924,13
Bark,NA,41
Brig,1812,13
Brig,1816,28
Brig,1817,28
Brig,1818,15
Brig,1819,83
Brig,1820,72
Brig,1821,56
Brig,1822,93
Brig,1824,28
Brig,1825,44
Brig,1826,62
Brig,1827,15
Brig,1828,45
Brig,1829,41
Brig,1832,10
Brig,1833,21
Brig,1840,458
Brig,1841,404
Brig,1842,385
Brig,1843,155
Brig,1844,187
Brig,1845,125
Brig,1846,183
Brig,1847,122
Brig,1848,203
Brig,1849,62
Brig,1850,238
Brig,1851,110
Brig,1852,93
Brig,1853,80
Brig,1854,186
Brig,1855,165
Brig,1856,130
Brig,1857,127
Brig,1858,177
Brig,1859,44
Brig,1860,126
Brig,1861,45
Brig,1862,42
Brig,1863,22
Brig,1864,65
Brig,1865,67
Brig,1866,90
Brig,1867,106
Brig,1868,81
Brig,1869,43
Brig,1870,20
Brig,1872,42
Brig,1873,22
Brig,1874,47
Brig,1875,68
Brig,1876,69
Brig,1877,68
Brig,1878,165
Brig,1880,92
Brig,1881,23
Brig,1882,26
Brig,1883,46
Brig,1884,47
Brig,1885,45
Brig,1886,45
Brig,1887,19
Brig,1888,24
Brig,1889,23
Brig,1897,25
Brig,1901,20
Brig,1902,32
Brig,1905,49
Brig,1906,20
Brig,1908,55
Brig,1909,24
Brig,1910,25
Brig,1912,25
Brig,1916,47
Brig,1917,19
Brig,NA,25
Brig or Bark,1851,23
SBark,1881,39
SBark,1888,41
SBark,1892,42
Schr,1812,5
Schr,1815,34
Schr,1816,14
Schr,1818,4
Schr,1821,28
Schr,1828,28
Schr,1840,65
Schr,1843,26
Schr,1849,24
Schr,1851,36
Schr,1852,60
Schr,1853,42
Schr,1854,64
Schr,1855,146
Schr,1856,208
Schr,1857,186
Schr,1858,49
Schr,1859,67
Schr,1860,68
Schr,1861,158
Schr,1862,72
Schr,1863,68
Schr,1864,71
Schr,1865,66
Schr,1866,146
Schr,1867,248
Schr,1868,261
Schr,1869,113
Schr,1870,130
Schr,1871,62
Schr,1872,144
Schr,1873,30
Schr,1874,151
Schr,1875,84
Schr,1876,245
Schr,1877,168
Schr,1878,248
Schr,1879,207
Schr,1880,179
Schr,1881,202
Schr,1882,159
Schr,1883,142
Schr,1884,135
Schr,1885,136
Schr,1886,123
Schr,1887,72
Schr,1888,34
Schr,1889,85
Schr,1890,94
Schr,1891,95
Schr,1892,91
Schr,1893,107
Schr,1894,66
Schr,1895,72
Schr,1896,87
Schr,1897,135
Schr,1898,136
Schr,1899,68
Schr,1900,141
Schr,1901,73
Schr,1902,57
Schr,1903,92
Schr,1904,82
Schr,1905,46
Schr,1906,181
Schr,1907,110
Schr,1908,136
Schr,1909,140
Schr,1910,161
Schr,1911,92
Schr,1912,199
Schr,1913,68
Schr,1914,118
Schr,1915,131
Schr,1916,139
Schr,1917,202
Schr,1918,29
Schr,1919,248
Schr,1920,125
Schr,1921,81
Schr,1922,127
Schr,1923,15
Schr,1925,23
Schr,1927,13
Schr,NA,14
ship,1862,23
ship,1868,34
Ship,1809,12
Ship,1810,25
Ship,1811,20
Ship,1815,16
Ship,1817,43
Ship,1818,171
Ship,1819,81
Ship,1820,65
Ship,1821,154
Ship,1822,62
Ship,1823,65
Ship,1824,67
Ship,1825,184
Ship,1826,146
Ship,1827,207
Ship,1828,288
Ship,1829,156
Ship,1830,202
Ship,1831,309
Ship,1832,198
Ship,1833,212
Ship,1834,227
Ship,1839,67
Ship,1840,1740
Ship,1841,2749
Ship,1842,2757
Ship,1843,2029
Ship,1844,3148
Ship,1845,2196
Ship,1846,1804
Ship,1847,1936
Ship,1848,2265
Ship,1849,1317
Ship,1850,2426
Ship,1851,4460
Ship,1852,1586
Ship,1853,2541
Ship,1854,2540
Ship,1855,3515
Ship,1856,3389
Ship,1857,2827
Ship,1858,1519
Ship,1859,1080
Ship,1860,982
Ship,1861,265
Ship,1862,604
Ship,1863,502
Ship,1864,528
Ship,1865,641
Ship,1866,447
Ship,1867,342
Ship,1868,127
Ship,1869,99
Ship,1870,156
Ship,1871,198
Ship,1872,97
Ship,1873,32
Ship,1874,98
Ship,1875,98
Ship,1876,88
Ship,1877,33
Ship,1878,68
Ship,1879,66
Ship,1880,34
Ship,1881,101
Ship,1882,67
Ship,1883,33
Ship,1885,68
Ship,1886,96
Ship,1891,37
Ship,1892,33
Ship,NA,155
Sloop,1815,3
Sloop,1817,14
Steam bark,1880,35
Steam Bark,1879,33
Steam Bark,1881,65
NA,1817,16
NA,1821,20
NA,1832,26
NA,1833,29
NA,1841,15
NA,1845,48
NA,1852,34
NA,1854,32
NA,1863,58
NA,1876,1
NA,NA,2
